provider,page_type,url,html_tag,text,scraped_at
Klarna,homepage,https://www.klarna.com/us/,p,¹ CA resident loans made or arranged pursuant to a California Financing Law license. NMLS # 1353190.,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"² Earn cashback on Klarna App purchases. Klarna balance account required and funds can only be used within Klarna. Cashback issuance depends on store approval and may be affected by cookie settings, combining offers, product exclusions, or other factors beyond our control. Klarna may get a commission. Limitations, terms and conditions apply .",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,³ Klarna on Apple Pay is available in-store on iPhone and online or in apps on iPhone or iPad. Software requirements apply.,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"Use Klarna with a service fee between $0.75-$3 issued by WebBank. For example: a $160 purchase with a $40 down payment and $2 service fee results in a 21.97% APR, followed by three more biweekly payments of $40 (total repayment: $162). Subject to credit approval; minimum 25% down payment required. See payment terms. A higher initial payment may be required for some consumers. CA resident loans made or arranged pursuant to a California Financing Law license. NMLS #1353190.",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"Paying over time on Apple Pay: Loans/plans not offered by Apple. Subject to eligibility requirements and approval. Not available in all markets, and may not be available for all types of purchases, such as subscriptions and recurring transactions. Your loan/plan activity may be reported to credit bureaus by your lending/plan provider, which may affect your credit score. The availability of your loan/plan may have an expiration date. Available with Apple Pay in stores on iPhone, and online and in apps on iPhone or iPad. Software requirements apply. Additional terms may apply. For more eligibility and feature details, see Pay with installments using Apple Pay. To use Apple Pay, you need a supported card from a participating card issuer. To check if your card is compatible with Apple Pay, contact your card issuer.",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"Apple Pay is not available in all markets. View Apple Pay countries and regions. Features are subject to change. Some features, applications, and services may not be available in all regions or all languages and may require specific hardware and software. For more information, see Feature Availability.",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"Apple Pay is a service provided by Apple Payments Services LLC, a subsidiary of Apple Inc. Neither Apple Inc. nor Apple Payments Services LLC is a bank. Any card used in Apple Pay is offered by the card issuer.",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"Klarna on Apple Pay is available in-store on iPhone and online or in apps on iPhone or iPad. Software requirements apply. Use Klarna for Pay in 4 with a service fee between $1.29-$5.99, issued by WebBank. For example: a $248 purchase with a $62 down payment and a $4.99 service fee results in a 35.68% APR, followed by three additional biweekly payments of $62 (total repayment: $252.99). Subject to credit approval; minimum 25% down payment required. For monthly financing, rate ranges from 0.00%-35.99% APR based on creditworthiness, term length, and subject to credit approval, resulting in, for example, 3 equal monthly payments of $333.33 at 0.00% APR to $353.52 at 35.99% APR per $1,000 borrowed. Minimum purchase amount and down payment may be required. Estimation of monthly payment excludes potential tax and shipping costs. Paying over time on Apple Pay: Loans/plans not offered by Apple. Subject to eligibility requirements and approval. Not available in all markets, and may not be available for all types of purchases, such as subscriptions and recurring transactions. Your loan/plan activity may be reported to credit bureaus by your lending/plan provider, which may affect your credit score. The availability of your loan/plan may have an expiration date. Available with Apple Pay in stores on iPhone, and online and in apps on iPhone or iPad. Software requirements apply. Additional terms may apply. For more eligibility and feature details, see Pay with installments using Apple Pay. To use Apple Pay, you need a supported card from a participating card issuer. To check if your card is compatible with Apple Pay, contact your card issuer. Apple Pay is not available in all markets. View Apple Pay countries and regions. Features are subject to change. Some features, applications, and services may not be available in all regions or all languages and may require specific hardware and software. For more information, see Feature Availability. Apple Pay is a service provided by Apple Payments Services LLC, a subsidiary of Apple Inc. Neither Apple Inc. nor Apple Payments Services LLC is a bank. Any card used in Apple Pay is offered by the card issuer.",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"⁴ Klarna Debit Flex Card is issued by Webbank, Member FDIC. Use your card anywhere Visa is accepted. Certain merchant, product, good and service restrictions apply. Some merchants do not accept virtual cards. Physical card only included with a paid Klarna Membership Plan.",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,⁵ See payment terms . A higher initial payment may be required for some consumers. CA resident loans made or arranged pursuant to a California Financing Law license. NMLS #1353190.,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"⁶ A $1,000 purchase might cost $173.53 per month over 6 months at 13.99% APR. Rate ranges from 0.00%-35.99% APR based on creditworthiness, term length, and subject to credit approval, resulting in, for example, 3 equal monthly payments of $333.33 at 0.00% APR to $353.52 at 35.99% APR per $1,000 borrowed. Minimum purchase amount and down payment may be required. Estimation of monthly payment excludes potential tax and shipping costs. Monthly financing through Klarna issued by WebBank.",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,a,At checkout Find the pink Klarna badge at your favorite brands when you shop online. Learn more,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,a,"In the Klarna app Stay on top of your spending, shop anywhere with Klarna and earn cashback.² Get the app",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,a,Apple Pay Pay over time on Apple Pay when shopping online or in-store.³ Learn more,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,a,Klarna Card Shop anywhere Visa is accepted and choose how you pay.⁴ Learn more,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,a,terms and conditions apply,2026-05-20T20:11:37.631472
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,h2,Everyday money simplified,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,h2,Pay with Klarna everywhere,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,h2,Trusted by over 1m+ brands,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,h2,Klarna is available worldwide,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,h2,Frequently asked questions,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,h2,Shop smart with Klarna today,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,h3,How does Klarna make money?,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,h3,What happens if I miss a payment?,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,h4,Available on the App Store,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"Klarna is your everyday money app, helping you manage spending, payments, and rewards. All in one place. Built for real life, it gives you flexibility in how you pay, protection when you shop, and smarter ways to get more from everyday spending.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"Pay with Klarna everywhere, online and in-store. Pay in full for everyday spending and choose to pay later for bigger purchases¹.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"Shop now and pay later with Klarna's flexible payment options. Choose to pay in full, in 4 interest-free payments, in 30 days or over time².",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"Earn cashback³ when you shop at hundreds of stores in the Klarna app. Redeem it for money added to your Klarna balance, or convert it to airline and hotel points with a membership plan⁴.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"Stay on top of your money with everything in one place. Track payments, see what’s coming up, manage cards and limits, and watch cashback grow in your balance.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"Get unlimited 5G data⁵ on AT&T's network, with a mobile plan from Klarna for $40/mo.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"From big brands to everyday favorites, Klarna lets you pay anywhere you want. Look out for Klarna at checkout, use the app, or simply tap your Klarna Card.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,Klarna protects your money and personal information with every purchase⁷.,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,Advanced real-time fraud monitoring,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"Strong privacy protections, by default",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,24/7 support when you need it,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"Join 119m people who love to shop and pay with Klarna—rated 4.8 out of 5 on the App Store, with over 1.5M reviews.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"Over 119m customers across 26 countries choose Klarna's flexible payment options, with 3.4 million transactions happening every day.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"Most of Klarna’s revenue comes from fees that stores pay to offer Klarna at checkout. They choose Klarna because it helps more people complete their purchases smoothly and feel confident while shopping. Klarna earns a smaller amount from interest on our financing products and from late fees when payments are missed. These late fees are clear, limited, and often avoided completely. Klarna also provides reminders and flexible payment options to help people stay in control of their spending.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,To be eligible to use Klarna:,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,Be a resident of the United States or its territories,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,Be at least eighteen years old or of legal age in your state of residence.,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,Have a valid card/bank account.,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,Have full legal capacity to enter into a contract.,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,Accurately provide your true and correct personal details.,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,Be able to receive security verification codes via text message.,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"A valid Social Security Number (SSN) and a linked card or bank account may be required to use certain Klarna products, such as Pay in 4 and other credit-based payment options, as well as our banking products. Read our terms and conditions for more information.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"We’ll email you if your payment is unsuccessful. We’ll also try one more time to collect it. If we can’t collect it a second time, it will be added to your next payment along with a late fee of up to $7.00. The aggregate sum of your late fees will never exceed 25% of your order value at the time of purchase.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"Klarna is a flexible payment service that offers ways to buy now and pay later. Simply select Klarna at checkout when it’s available and we’ll quickly verify your details to complete the order. You can track and manage all payments in the Klarna app, with reminders to help you stay on schedule.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"¹ Apply in advance for Pay in 4, issued by WebBank, with a service fee between $0.75-$3. For example: a $160 purchase with a $40 down payment and $2 service fee results in a 21.97% APR, followed by three more biweekly payments of $40 (total repayment: $162). Subject to credit approval; minimum 25% down payment required.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,² CA resident loans made or arranged pursuant to a California Financing Law license. NMLS # 1353190.,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"³ Klarna Cashback Rewards are awarded as points which can be redeemed for a credit to your Klarna balance and other benefits. Earn cashback on Klarna App purchases. Klarna balance account required to receive cashback. Cashback issuance depends on store approval and may be affected by cookie settings, combining offers, product exclusions, or other factors beyond our control. Limitations, terms, and conditions apply.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"⁴ Klarna Membership offered in partnership with WebBank for a monthly fee. Cancel any time in the App. Exclusions, conditions, and limitations apply to membership benefits. Klarna Membership Terms apply.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"⁵ “Unlimited 5G” means Klarna mobile plan provides unlimited high-speed 5G data with peak speeds up to 4.2 Gbps and minimum speeds around 300 Mbps—about twice the U.S. average. Other “unlimited” plans often slow to unusable levels after data caps. Actual speeds vary by location, network, and device. A 5G-capable device and AT&T 5G coverage are required. Subject to our Acceptable Use Policy.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,"⁶ Use your card anywhere Visa is accepted. Certain merchant, product, good and service restrictions apply. Some merchants do not accept virtual cards. Physical card only included with a paid Klarna Membership Plan.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,p,⁷ Exclusions apply. Learn more at https://www.klarna.com/us/buyer-protection/.,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,"Klarna is your everyday money app, helping you manage spending, payments, and rewards. All in one place.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,"Built for real life, it gives you flexibility in how you pay, protection when you shop, and smarter ways to get more from everyday spending.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,"How does Klarna make money? Most of Klarna’s revenue comes from fees that stores pay to offer Klarna at checkout. They choose Klarna because it helps more people complete their purchases smoothly and feel confident while shopping. Klarna earns a smaller amount from interest on our financing products and from late fees when payments are missed. These late fees are clear, limited, and often avoided completely. Klarna also provides reminders and flexible payment options to help people stay in control of their spending.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,Most of Klarna’s revenue comes from fees that stores pay to offer Klarna at checkout. They choose Klarna because it helps more people complete their purchases smoothly and feel confident while shopping.,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,"Klarna earns a smaller amount from interest on our financing products and from late fees when payments are missed. These late fees are clear, limited, and often avoided completely. Klarna also provides reminders and flexible payment options to help people stay in control of their spending.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,"Who can use Klarna? To be eligible to use Klarna: Be a resident of the United States or its territories Be at least eighteen years old or of legal age in your state of residence. Have a valid card/bank account. Have full legal capacity to enter into a contract. Accurately provide your true and correct personal details. Be able to receive security verification codes via text message. Good to know: A valid Social Security Number (SSN) and a linked card or bank account may be required to use certain Klarna products, such as Pay in 4 and other credit-based payment options, as well as our banking products. Read our terms and conditions for more information.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,"To be eligible to use Klarna: Be a resident of the United States or its territories Be at least eighteen years old or of legal age in your state of residence. Have a valid card/bank account. Have full legal capacity to enter into a contract. Accurately provide your true and correct personal details. Be able to receive security verification codes via text message. Good to know: A valid Social Security Number (SSN) and a linked card or bank account may be required to use certain Klarna products, such as Pay in 4 and other credit-based payment options, as well as our banking products. Read our terms and conditions for more information.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,"A valid Social Security Number (SSN) and a linked card or bank account may be required to use certain Klarna products, such as Pay in 4 and other credit-based payment options, as well as our banking products. Read our",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,"What happens if I miss a payment? We’ll email you if your payment is unsuccessful. We’ll also try one more time to collect it. If we can’t collect it a second time, it will be added to your next payment along with a late fee of up to $7.00. The aggregate sum of your late fees will never exceed 25% of your order value at the time of purchase.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,"How does Klarna work? Klarna is a flexible payment service that offers ways to buy now and pay later. Simply select Klarna at checkout when it’s available and we’ll quickly verify your details to complete the order. You can track and manage all payments in the Klarna app, with reminders to help you stay on schedule.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,"³ Klarna Cashback Rewards are awarded as points which can be redeemed for a credit to your Klarna balance and other benefits. Earn cashback on Klarna App purchases. Klarna balance account required to receive cashback. Cashback issuance depends on store approval and may be affected by cookie settings, combining offers, product exclusions, or other factors beyond our control. Limitations,",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,"⁴ Klarna Membership offered in partnership with WebBank for a monthly fee. Cancel any time in the App. Exclusions, conditions, and limitations apply to membership benefits.",2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,⁷ Exclusions apply. Learn more at,2026-05-20T20:11:48.168407
Klarna,how_it_works,https://www.klarna.com/us/what-is-klarna/,span,https://www.klarna.com/us/buyer-protection/.,2026-05-20T20:11:48.168407
Klarna,faq,https://www.klarna.com/us/customer-service/,h2,Customer service in the app,2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,h2,"Get support anytime, anywhere",2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,p,"We are currently experiencing higher contact volumes than normal, which means our response time is slightly longer than usual. In the meantime, answers to our most commonly asked questions can be found in our FAQ. Thank you for your patience.",2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,p,"Warning! You may receive scam emails, SMSs, phone calls and job offers pretending to be from Klarna. Remember, Klarna will never contact you to request for your personal information, login details, passwords, bank or card details or account verification through unfamiliar links. Phishing attempts can be reported here: https://www.klarna.com/us/phishing-and-scams/",2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,p,• The fastest way to get support • 24/7 support from our AI assistant in any language,2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,p,• Call us at (888) 518-2771 • Opening hours: 24/7,2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,p,"Track your delivery, handle returns and manage your payments in the Klarna app. Plus, access 24/7 help with our chat.",2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,p,Learn how we handle your data and keep your personal information safe.,2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,p,Learn how we help you shop securely by protecting your money and data.,2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,p,Shop with confidence knowing Klarna has your back in case of issues.,2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,p,Sign in for instant assistance from our AI assistant or call a dedicated agent: Call us at: (888) 518-2771 Opening hours: 24/7,2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,span,"Warning! You may receive scam emails, SMSs, phone calls and job offers pretending to be from Klarna. Remember, Klarna will never contact you to request for your personal information, login details, passwords, bank or card details or account verification through unfamiliar links. Phishing attempts can be reported here:",2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,span,https://www.klarna.com/us/phishing-and-scams/,2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,span,• The fastest way to get support,2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,span,• 24/7 support from our AI assistant in any language,2026-05-20T20:11:56.890447
Klarna,faq,https://www.klarna.com/us/customer-service/,span,Sign in for instant assistance from our AI assistant or call a dedicated agent:,2026-05-20T20:11:56.890447
Affirm,homepage,https://www.affirm.com/,p,Would you like to see what Affirm offers in your region?,2026-05-20T20:12:00.384890
Affirm,homepage,https://www.affirm.com/,p,"Payment options through Affirm are provided by these lending partners: affirm.com/lenders. Your rate will be 0â36% APR based on credit, and is subject to an eligibility check. Affirm Pay in 4 payment option is 0% APR.",2026-05-20T20:12:00.384890
Affirm,homepage,https://www.affirm.com/,p,"Options depend on your purchase amount and may vary by merchant. A down payment may be required. For example, at a purchase price of $400 you could pay a down payment of $80, followed by 12 monthly payments of $28.88 at 15% APR or 4 interest-free payments of $100 every 2 weeks. Affirm availability and eligibility may vary. Restrictions apply. See affirm.com/terms#use .",2026-05-20T20:12:00.384890
Affirm,homepage,https://www.affirm.com/,p,"The Affirm Moneyâ¢ Account is held with Cross River Bank (CRB), Member FDIC. Affirm is not a bank. FDIC insurance covers accounts held with CRB in the event CRB fails. California residents: Affirm Loan Services, LLC is licensed by the Department of Financial Protection and Innovation. Loans are made or arranged pursuant to California Financing Law license 60DBO-111681.",2026-05-20T20:12:00.384890
Affirm,homepage,https://www.affirm.com/,p,"The Affirm Card is a VisaÂ® debit card issued by Evolve Bank & Trust (Evolve) or Stride Bank, N.A. (Stride), Members FDIC, pursuant to licenses from Visa U.S.A. Inc. Affirm is not a bank. FDIC insurance will only cover the failure of Evolve and/or Stride. Learn more . The Affirm Card is not available to residents of U.S. territories.",2026-05-20T20:12:00.384890
Affirm,homepage,https://www.affirm.com/,p,"The one-time-use Affirm virtual card is issued by CRB, Sutton Bank, or Celtic Bank, Members FDIC, pursuant to a license from Visa U.S.A. Inc. Affirm, Inc., NMLS ID 1883087. Affirm Loan Services, LLC, NMLS ID 1479506. For licenses and disclosures, see affirm.com/licenses.",2026-05-20T20:12:00.384890
Affirm,how_it_works,https://www.affirm.com/how-it-works,p,Would you like to see what Affirm offers in your region?,2026-05-20T20:12:03.692520
Affirm,how_it_works,https://www.affirm.com/how-it-works,p,"Payment options through Affirm are provided by these lending partners: affirm.com/lenders. Your rate will be 0â36% APR based on credit, and is subject to an eligibility check. Affirm Pay in 4 payment option is 0% APR.",2026-05-20T20:12:03.692520
Affirm,how_it_works,https://www.affirm.com/how-it-works,p,"Options depend on your purchase amount and may vary by merchant. A down payment may be required. For example, at a purchase price of $400 you could pay a down payment of $80, followed by 12 monthly payments of $28.88 at 15% APR or 4 interest-free payments of $100 every 2 weeks. Affirm availability and eligibility may vary. Restrictions apply. See affirm.com/terms#use .",2026-05-20T20:12:03.692520
Affirm,how_it_works,https://www.affirm.com/how-it-works,p,"The Affirm Moneyâ¢ Account is held with Cross River Bank (CRB), Member FDIC. Affirm is not a bank. FDIC insurance covers accounts held with CRB in the event CRB fails. California residents: Affirm Loan Services, LLC is licensed by the Department of Financial Protection and Innovation. Loans are made or arranged pursuant to California Financing Law license 60DBO-111681.",2026-05-20T20:12:03.692520
Affirm,how_it_works,https://www.affirm.com/how-it-works,p,"The Affirm Card is a VisaÂ® debit card issued by Evolve Bank & Trust (Evolve) or Stride Bank, N.A. (Stride), Members FDIC, pursuant to licenses from Visa U.S.A. Inc. Affirm is not a bank. FDIC insurance will only cover the failure of Evolve and/or Stride. Learn more . The Affirm Card is not available to residents of U.S. territories.",2026-05-20T20:12:03.692520
Affirm,how_it_works,https://www.affirm.com/how-it-works,p,"The one-time-use Affirm virtual card is issued by CRB, Sutton Bank, or Celtic Bank, Members FDIC, pursuant to a license from Visa U.S.A. Inc. Affirm, Inc., NMLS ID 1883087. Affirm Loan Services, LLC, NMLS ID 1479506. For licenses and disclosures, see affirm.com/licenses.",2026-05-20T20:12:03.692520
Afterpay,homepage,https://www.afterpay.com/en-US,p,Pay over time with Afterpay,2026-05-20T20:12:09.999687
Afterpay,homepage,https://www.afterpay.com/en-US,p,Afterpay is better in the app. Shop the brands you love with flexible ways to pay.,2026-05-20T20:12:09.999687
Afterpay,homepage,https://www.afterpay.com/en-US,p,The hottest deals. The best brands. Curated round-ups. There’s a reason the Afterpay app has over 700k 5-star reviews.,2026-05-20T20:12:09.999687
Afterpay,homepage,https://www.afterpay.com/en-US,p,Manage your budget with Afterpay.,2026-05-20T20:12:09.999687
