region_id,age_bracket,financial_fragility_index,debt_to_income_ratio
50,25-34,5.96,0.29
51,25-34,8.32,0.41
52,25-34,7.17,0.36
53,25-34,9.12,0.29
54,25-34,8.02,0.33
55,25-34,6.87,0.46
56,25-34,8.44,0.43
57,25-34,9.16,0.35
58,25-34,8.22,0.32
59,25-34,7.69,0.34
60,25-34,7.35,0.41
61,25-34,5.97,0.56
62,25-34,5.69,0.23
63,25-34,8.94,0.43
64,25-34,8.14,0.41
65,25-34,7.18,0.26
66,25-34,7.31,0.28
67,25-34,8.66,0.34
68,25-34,5.96,0.32
69,25-34,7.82,0.29
70,25-34,5.97,0.37
71,25-34,7.57,0.3
72,25-34,6.49,0.37
73,25-34,5.03,0.21
74,25-34,6.12,0.33
75,25-34,7.67,0.5
76,25-34,8.49,0.33
77,25-34,7.17,0.25
78,25-34,7.17,0.32
79,25-34,7.68,0.27
80,25-34,7.98,0.5
81,25-34,7.04,0.39
82,25-34,8.24,0.31
83,25-34,7.54,0.35
84,25-34,7.35,0.27
85,25-34,7.24,0.4
86,25-34,9.38,0.45
87,25-34,10.0,0.27
88,25-34,8.51,0.37
89,25-34,10.0,0.27
90,25-34,5.94,0.29
91,25-34,4.01,0.3
92,25-34,6.06,0.37
93,25-34,7.71,0.54
94,25-34,8.63,0.29
95,25-34,5.85,0.4
96,25-34,5.22,0.53
97,25-34,8.97,0.3
98,25-34,4.63,0.49
99,25-34,7.03,0.47
0,35-44,3.61,0.24
1,35-44,6.01,0.3
2,35-44,5.32,0.36
3,35-44,4.4,0.29
4,35-44,6.18,0.35
5,35-44,7.07,0.19
6,35-44,3.7,0.43
7,35-44,6.5,0.23
8,35-44,8.33,0.31
9,35-44,7.77,0.31
10,35-44,9.09,0.48
11,35-44,5.63,0.4
12,35-44,6.97,0.44
13,35-44,4.55,0.37
14,35-44,7.59,0.12
15,35-44,4.23,0.1
16,35-44,5.6,0.37
17,35-44,8.25,0.31
18,35-44,8.44,0.16
19,35-44,3.44,0.29
20,35-44,6.58,0.3
21,35-44,2.9,0.29
22,35-44,4.04,0.37
23,35-44,6.55,0.21
24,35-44,5.23,0.19
25,35-44,5.91,0.4
26,35-44,4.52,0.35
27,35-44,5.2,0.22
28,35-44,5.84,0.2
29,35-44,5.17,0.18
30,35-44,8.95,0.3
31,35-44,4.95,0.32
32,35-44,5.83,0.28
33,35-44,6.92,0.38
34,35-44,5.2,0.24
35,35-44,5.59,0.07
36,35-44,3.73,0.44
37,35-44,8.47,0.28
38,35-44,6.86,0.33
39,35-44,10.0,0.41
40,35-44,5.81,0.2
41,35-44,3.59,0.32
42,35-44,4.87,0.16
43,35-44,5.03,0.19
44,35-44,8.53,0.39
45,35-44,5.99,0.45
46,35-44,6.12,0.21
47,35-44,8.28,0.35
48,35-44,4.44,0.28
49,35-44,4.69,0.16
50,35-44,7.39,0.49
51,35-44,3.9,0.36
52,35-44,5.02,0.25
53,35-44,5.11,0.21
54,35-44,6.07,0.22
55,35-44,6.41,0.29
56,35-44,5.64,0.21
57,35-44,5.13,0.38
58,35-44,6.75,0.2
59,35-44,6.15,0.38
60,35-44,3.5,0.35
61,35-44,5.01,0.36
62,35-44,4.86,0.12
63,35-44,3.56,0.3
64,35-44,6.39,0.21
65,35-44,6.96,0.13
66,35-44,5.9,0.18
67,35-44,5.02,0.3
68,35-44,4.71,0.26
69,35-44,7.51,0.24
70,35-44,7.25,0.19
71,35-44,6.79,0.44
72,35-44,2.29,0.22
73,35-44,6.87,0.28
74,35-44,6.56,0.24
75,35-44,6.13,0.28
76,35-44,7.75,0.33
77,35-44,6.51,0.26
78,35-44,5.27,0.26
79,35-44,6.59,0.26
80,35-44,6.43,0.51
81,35-44,7.31,0.27
82,35-44,7.8,0.26
83,35-44,2.94,0.2
84,35-44,3.19,0.26
85,35-44,6.03,0.47
86,35-44,6.49,0.28
87,35-44,7.24,0.08
88,35-44,6.35,0.38
89,35-44,3.78,0.41
90,35-44,6.51,0.26
91,35-44,6.95,0.53
92,35-44,6.27,0.32
93,35-44,5.31,0.22
94,35-44,7.25,0.21
95,35-44,6.11,0.25
96,35-44,6.72,0.33
97,35-44,7.56,0.25
98,35-44,5.6,0.2
99,35-44,5.33,0.34
0,45-54,6.64,0.16
1,45-54,6.8,0.39
2,45-54,6.12,0.44
3,45-54,4.34,0.13
4,45-54,2.83,0.4
5,45-54,6.48,0.24
6,45-54,5.92,0.14
7,45-54,9.17,0.26
8,45-54,5.66,0.32
9,45-54,6.22,0.27
10,45-54,4.31,0.3
11,45-54,8.32,0.38
12,45-54,7.89,0.2
13,45-54,4.02,0.24
14,45-54,5.58,0.36
15,45-54,2.96,0.4
16,45-54,5.26,0.21
17,45-54,3.98,0.08
18,45-54,6.73,0.26
19,45-54,3.57,0.12
20,45-54,5.0,0.42
21,45-54,5.11,0.1
22,45-54,5.13,0.22
23,45-54,1.45,0.24
24,45-54,5.15,0.32
25,45-54,8.27,0.36
26,45-54,5.1,0.14
27,45-54,9.36,0.26
28,45-54,5.52,0.25
29,45-54,5.8,0.24
30,45-54,4.64,0.2
31,45-54,5.45,0.2
32,45-54,4.43,0.26
33,45-54,5.12,0.4
34,45-54,1.52,0.36
35,45-54,7.37,0.04
36,45-54,4.99,0.21
37,45-54,3.39,0.17
38,45-54,3.83,0.43
39,45-54,6.9,0.38
40,45-54,6.58,0.14
41,45-54,4.71,0.3
42,45-54,3.67,0.32
43,45-54,5.14,0.21
44,45-54,6.57,0.29
45,45-54,4.96,0.37
46,45-54,3.88,0.31
47,45-54,6.39,0.22
48,45-54,5.99,0.12
49,45-54,6.89,0.23
50,45-54,4.72,0.35
51,45-54,4.44,0.11
52,45-54,3.17,0.31
53,45-54,3.58,0.43
54,45-54,2.38,0.42
55,45-54,5.82,0.24
56,45-54,4.68,0.29
57,45-54,5.44,0.36
58,45-54,5.67,0.27
59,45-54,4.95,0.24
60,45-54,5.96,0.08
61,45-54,3.48,0.32
62,45-54,5.76,0.23
63,45-54,5.53,0.28
64,45-54,4.69,0.17
65,45-54,5.79,0.15
66,45-54,6.11,0.08
67,45-54,7.04,0.3
68,45-54,5.88,0.35
69,45-54,8.0,0.35
70,45-54,2.74,0.12
71,45-54,4.56,0.25
72,45-54,6.28,0.18
73,45-54,5.78,0.17
74,45-54,4.58,0.11
75,45-54,4.12,0.11
76,45-54,4.04,0.36
77,45-54,4.08,0.51
78,45-54,6.24,0.27
79,45-54,4.21,0.32
80,45-54,4.64,0.26
81,45-54,9.34,0.24
82,45-54,7.22,0.18
83,45-54,5.45,0.43
84,45-54,4.56,0.43
85,45-54,6.56,0.19
86,45-54,6.45,0.35
87,45-54,6.43,0.09
88,45-54,4.41,0.23
89,45-54,5.39,0.31
90,45-54,5.77,0.12
91,45-54,6.07,0.31
92,45-54,6.34,0.36
93,45-54,6.75,0.3
94,45-54,5.39,0.08
95,45-54,6.14,0.27
96,45-54,5.91,0.12
97,45-54,3.88,0.36
98,45-54,5.44,0.32
99,45-54,5.54,0.25
0,55-64,5.41,0.15
1,55-64,4.14,0.15
2,55-64,3.35,0.17
3,55-64,4.33,0.15
4,55-64,5.88,0.11
5,55-64,3.72,0.16
6,55-64,6.17,0.22
7,55-64,5.55,0.05
8,55-64,4.4,0.29
9,55-64,4.12,0.31
10,55-64,3.22,0.34
11,55-64,7.45,0.16
12,55-64,3.33,0.35
13,55-64,6.37,0.15
14,55-64,3.37,0.17
15,55-64,1.98,0.11
16,55-64,2.49,0.12
17,55-64,3.95,0.22
18,55-64,6.33,0.1
19,55-64,5.48,0.18
20,55-64,3.93,0.27
21,55-64,2.32,0.24
22,55-64,4.25,0.25
23,55-64,4.43,0.45
24,55-64,3.04,0.15
25,55-64,3.07,0.14
26,55-64,3.04,0.32
27,55-64,6.13,0.14
28,55-64,2.75,0.25
29,55-64,3.17,0.26
30,55-64,4.3,0.05
31,55-64,6.32,0.38
32,55-64,3.08,0.16
33,55-64,4.43,0.23
34,55-64,4.99,0.4
35,55-64,3.73,0.12
36,55-64,1.93,0.13
37,55-64,3.95,0.38
38,55-64,3.22,0.22
39,55-64,3.98,0.32
40,55-64,7.79,0.15
41,55-64,3.27,0.3
42,55-64,5.02,0.38
43,55-64,4.88,0.16
44,55-64,4.89,0.31
45,55-64,5.23,0.25
46,55-64,5.6,0.32
47,55-64,6.07,0.26
48,55-64,3.75,0.21
49,55-64,5.81,0.12
50,55-64,4.55,0.16
51,55-64,4.04,0.33
52,55-64,4.29,0.2
53,55-64,1.96,0.27
54,55-64,4.97,0.42
55,55-64,3.54,0.22
56,55-64,4.37,0.36
57,55-64,3.86,0.23
58,55-64,4.91,0.22
59,55-64,3.33,0.22
60,55-64,5.61,0.1
61,55-64,4.2,0.13
62,55-64,5.79,0.05
63,55-64,3.16,0.24
64,55-64,6.35,0.19
65,55-64,3.17,0.39
66,55-64,1.83,0.0
67,55-64,4.66,0.15
68,55-64,2.47,0.27
69,55-64,4.37,0.14
70,55-64,2.08,0.29
71,55-64,4.98,0.19
72,55-64,6.77,0.09
73,55-64,1.71,0.13
74,55-64,3.93,0.22
75,55-64,3.64,0.24
76,55-64,2.12,0.34
77,55-64,3.88,0.31
78,55-64,4.51,0.25
79,55-64,4.85,0.24
80,55-64,4.96,0.33
81,55-64,4.29,0.27
82,55-64,3.87,0.34
83,55-64,2.99,0.38
84,55-64,3.94,0.06
85,55-64,4.19,0.13
86,55-64,5.26,0.13
87,55-64,3.33,0.01
88,55-64,3.32,0.0
89,55-64,1.62,0.28
90,55-64,5.18,0.24
91,55-64,2.55,0.2
92,55-64,3.99,0.08
93,55-64,6.26,0.29
94,55-64,3.67,0.2
95,55-64,4.31,0.0
96,55-64,3.63,0.13
97,55-64,2.5,0.17
98,55-64,6.7,0.26
99,55-64,3.14,0.26
0,65+,5.6,0.24
1,65+,3.59,0.09
2,65+,4.55,0.19
3,65+,4.84,0.21
4,65+,5.07,0.1
5,65+,5.48,0.17
6,65+,6.61,0.08
7,65+,6.1,0.17
8,65+,2.52,0.1
9,65+,3.02,0.19
10,65+,4.28,0.09
11,65+,3.46,0.36
12,65+,6.09,0.19
13,65+,3.56,0.16
14,65+,4.42,0.05
15,65+,3.11,0.0
16,65+,4.1,0.21
17,65+,2.78,0.31
18,65+,1.66,0.0
19,65+,3.84,0.25
20,65+,6.03,0.1
21,65+,5.12,0.15
22,65+,3.24,0.24
23,65+,4.48,0.0
24,65+,5.71,0.29
25,65+,2.56,0.19
26,65+,4.24,0.18
27,65+,2.67,0.08
28,65+,3.46,0.27
29,65+,4.32,0.11
30,65+,4.66,0.0
31,65+,5.22,0.0
32,65+,2.96,0.04
33,65+,1.56,0.27
34,65+,2.8,0.18
35,65+,3.43,0.2
36,65+,3.62,0.02
37,65+,4.99,0.1
38,65+,1.17,0.11
39,65+,5.75,0.24
40,65+,2.98,0.12
41,65+,3.02,0.36
42,65+,4.07,0.19
43,65+,5.05,0.17
44,65+,3.11,0.13
45,65+,3.39,0.15
46,65+,4.59,0.16
47,65+,4.6,0.14
48,65+,3.62,0.0
49,65+,4.87,0.18
50,65+,5.0,0.0
51,65+,6.63,0.14
52,65+,5.16,0.05
53,65+,4.42,0.04
54,65+,2.56,0.34
55,65+,3.21,0.17
56,65+,4.81,0.2
57,65+,3.73,0.19
58,65+,7.11,0.14
59,65+,3.8,0.26
60,65+,5.16,0.27
61,65+,4.46,0.04
62,65+,5.95,0.04
63,65+,3.95,0.07
64,65+,3.4,0.18
65,65+,3.98,0.19
66,65+,5.92,0.2
67,65+,3.13,0.25
68,65+,5.28,0.03
69,65+,4.4,0.22
70,65+,3.05,0.29
71,65+,3.27,0.16
72,65+,3.24,0.15
73,65+,1.86,0.01
74,65+,5.89,0.07
75,65+,2.01,0.0
76,65+,2.54,0.02
77,65+,5.96,0.25
78,65+,2.47,0.38
79,65+,4.97,0.12
80,65+,0.0,0.38
81,65+,1.42,0.0
82,65+,5.03,0.39
83,65+,5.58,0.21
84,65+,4.39,0.24
85,65+,4.64,0.18
86,65+,3.66,0.14
87,65+,2.37,0.12
88,65+,0.96,0.14
89,65+,2.02,0.04
90,65+,3.77,0.29
91,65+,4.88,0.0
92,65+,2.02,0.24
93,65+,2.03,0.13
94,65+,4.33,0.05
95,65+,3.66,0.02
96,65+,2.6,0.18
97,65+,1.11,0.19
98,65+,3.47,0.21
99,65+,3.84,0.29
