weight,B2,BNPL1,EF1,EF3_f,EF7,B0_a,B0_b,B0_c,ppagecat,ppgender,ppinc7,educ_4cat,BNPL1_bin,B0_a_r,B0_b_r,B0_c_r,B2_r,EF1_r,EF3_f_r,EF7_r,VULN_PCA1
1.0357,Doing okay,No,Yes,No,"$2,000 or more",Very well,Somewhat,Completely,65-74,Male,"$150,000 or more",Some college/technical or associates degree,0,1,2,4,1,0,0,0,0.24838829727152612
1.6545,Doing okay,No,No,No,"$2,000 or more",Very little,Very little,Somewhat,65-74,Male,"$100,000 to $149,999",Some college/technical or associates degree,0,3,1,2,1,1,0,0,-0.1942741034386872
0.6201,Just getting by,No,No,No,$100 to $499,Completely,Somewhat,Completely,65-74,Female,"Less than $10,000",Bachelor's degree or more,0,0,2,4,2,1,0,3,1.4090278761901014
0.6871,Doing okay,No,Yes,No,$500 to $999,Very little,Somewhat,Somewhat,55-64,Female,"$50,000 to $74,999",High school degree or GED,0,3,2,2,1,0,0,2,-0.1475209245072231
0.9613,Just getting by,Yes,No,No,"$1,000 to $1,999",Somewhat,Somewhat,Very well,65-74,Female,"$150,000 or more",Bachelor's degree or more,1,2,2,3,2,1,0,1,0.6547938129169619
0.9672,Doing okay,No,Yes,No,$500 to $999,Somewhat,Somewhat,Somewhat,45-54,Female,"$50,000 to $74,999",High school degree or GED,0,2,2,2,1,0,0,2,0.021489059782358724
0.652,Just getting by,No,No,No,$100 to $499,Completely,Completely,Completely,65-74,Female,"$25,000 to $49,999",Some college/technical or associates degree,0,0,4,4,2,1,0,3,1.7262363885641117
0.86,Just getting by,No,No,No,Under $100,Somewhat,Somewhat,Somewhat,75+,Male,"$25,000 to $49,999",Some college/technical or associates degree,0,2,2,2,2,1,0,4,0.8840288317132913
0.9474,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Very little,65-74,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,1,0,0,0,0,-1.2842829197479382
0.6328,Just getting by,No,No,No,$100 to $499,Completely,Completely,Completely,18-24,Male,"Less than $10,000",High school degree or GED,0,0,4,4,2,1,0,3,1.7262363885641117
1.3811,Doing okay,No,Yes,No,"$2,000 or more",Very little,Not at all,Very little,65-74,Female,"$50,000 to $74,999",Some college/technical or associates degree,0,3,0,1,1,0,0,0,-0.880943531575209
0.6762,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,65-74,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.4958,Doing okay,Yes,No,No,"$1,000 to $1,999",Completely,Completely,Completely,75+,Male,"$10,000 to $24,999",Some college/technical or associates degree,1,0,4,4,1,1,0,1,1.233727339284842
0.6344,Doing okay,No,No,No,"$2,000 or more",Not at all,Somewhat,Not at all,45-54,Male,"$100,000 to $149,999",Bachelor's degree or more,0,4,2,0,1,1,0,0,-0.5207487301369716
0.974,Living comfortably,Yes,Yes,No,"$1,000 to $1,999",Somewhat,Somewhat,Very well,45-54,Male,"$25,000 to $49,999",High school degree or GED,1,2,2,3,0,0,0,1,-0.18389571750099584
0.8364,Doing okay,Yes,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,65-74,Male,"$100,000 to $149,999",Some college/technical or associates degree,1,4,0,0,1,0,0,0,-1.2079879651626448
0.7631,Living comfortably,No,No,No,"$2,000 or more",Not at all,Completely,Not at all,75+,Female,"$25,000 to $49,999",High school degree or GED,0,4,4,0,0,1,0,0,-0.437869621646109
0.9554,Doing okay,No,No,No,"$2,000 or more",Very little,Somewhat,Somewhat,45-54,Female,"$150,000 or more",Bachelor's degree or more,0,3,2,2,1,1,0,0,-0.0356698472516822
0.8301,Living comfortably,No,No,No,"$2,000 or more",Not at all,Not at all,Not at all,75+,Female,"$100,000 to $149,999",Bachelor's degree or more,0,4,0,0,0,1,0,0,-1.072286646394129
0.7227,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Very little,Not at all,75+,Female,"$50,000 to $74,999",Bachelor's degree or more,0,4,1,0,0,0,0,0,-1.283713112858787
0.8553,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Very little,Very little,25-34,Male,"$150,000 or more",Bachelor's degree or more,0,4,1,1,0,0,0,0,-1.1256786635609333
1.2533,Living comfortably,No,No,No,"$2,000 or more",Very little,Very little,Very well,45-54,Female,"$100,000 to $149,999",Bachelor's degree or more,0,3,1,3,0,1,0,0,-0.27056905802398074
1.0071,Living comfortably,No,Yes,No,"$2,000 or more",Somewhat,Not at all,Completely,55-64,Female,"$100,000 to $149,999",Bachelor's degree or more,0,2,0,4,0,0,0,0,-0.4721596032752131
0.7644,Doing okay,No,Yes,No,"$2,000 or more",Very little,Very little,Somewhat,45-54,Female,"$75,000 to $99,999",Bachelor's degree or more,0,3,1,2,1,0,0,0,-0.5643048260903503
0.6344,Just getting by,No,No,No,$500 to $999,Very well,Very well,Somewhat,55-64,Male,"$100,000 to $149,999",Bachelor's degree or more,0,1,3,2,2,1,0,2,0.953463426793756
0.7976,Doing okay,No,Yes,No,"$2,000 or more",Very little,Somewhat,Very little,55-64,Female,"$100,000 to $149,999",Some college/technical or associates degree,0,3,2,1,1,0,0,0,-0.5637350192011992
1.1609,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Very little,75+,Male,"$100,000 to $149,999",Some college/technical or associates degree,0,4,0,1,0,0,0,0,-1.2842829197479382
0.5601,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,75+,Male,"$100,000 to $149,999",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.4976,Doing okay,No,Yes,No,"$2,000 or more",Very little,Very little,Very little,65-74,Male,"$100,000 to $149,999",Bachelor's degree or more,0,3,1,1,1,0,0,0,-0.722339275388204
0.7818,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,75+,Female,"$100,000 to $149,999",Some college/technical or associates degree,0,4,0,0,0,0,0,0,-1.4423173690457922
0.6161,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Very little,Somewhat,55-64,Male,"$150,000 or more",Bachelor's degree or more,0,3,1,2,0,0,0,0,-0.7986342299734975
0.6696,Doing okay,No,Yes,No,"$1,000 to $1,999",Very little,Somewhat,Somewhat,75+,Female,"$10,000 to $24,999",High school degree or GED,0,3,2,2,1,0,0,1,-0.27661074720528417
0.4976,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,75+,Male,"$100,000 to $149,999",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.6185,Doing okay,No,Yes,No,"$2,000 or more",Very little,Very little,Somewhat,55-64,Male,"$100,000 to $149,999",Bachelor's degree or more,0,3,1,2,1,0,0,0,-0.5643048260903503
1.0543,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,75+,Female,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.9568,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,25-34,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.7644,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Very little,45-54,Female,"$75,000 to $99,999",Bachelor's degree or more,0,4,0,1,0,0,0,0,-1.2842829197479382
0.6936,Living comfortably,No,Yes,No,"$2,000 or more",Very well,Very well,Very little,75+,Male,"$150,000 or more",Bachelor's degree or more,0,1,3,1,0,0,0,0,-0.3014401983181779
0.6978,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,45-54,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.71,Doing okay,No,No,No,"$2,000 or more",Somewhat,Somewhat,Somewhat,65-74,Male,"$50,000 to $74,999",Some college/technical or associates degree,0,2,2,2,1,1,0,0,0.1333401370378996
0.9332,Doing okay,No,Yes,No,"$1,000 to $1,999",Very little,Somewhat,Somewhat,45-54,Female,"$50,000 to $74,999",Bachelor's degree or more,0,3,2,2,1,0,0,1,-0.27661074720528417
0.6978,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Very little,Somewhat,45-54,Male,"$150,000 or more",Bachelor's degree or more,0,2,1,2,1,0,0,0,-0.3952948418007685
0.8895,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Very little,Very little,55-64,Female,"$75,000 to $99,999",Some college/technical or associates degree,0,3,1,1,0,0,0,0,-0.9566686792713515
1.1864,Just getting by,No,No,No,Under $100,Completely,Completely,Completely,35-44,Male,"$25,000 to $49,999",High school degree or GED,0,0,4,4,2,1,0,4,1.8553262112621725
1.0543,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Very little,Very little,55-64,Female,"$150,000 or more",Bachelor's degree or more,0,4,1,1,1,0,0,0,-0.8913492596777858
0.7856,Doing okay,No,Yes,No,"$2,000 or more",Very little,Somewhat,Very well,45-54,Male,"$150,000 or more",Bachelor's degree or more,0,3,2,3,1,0,0,0,-0.2476661206054914
1.0279,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Not at all,Not at all,65-74,Female,"$150,000 or more",Bachelor's degree or more,0,3,0,0,0,0,0,0,-1.2733073847562104
1.247,Doing okay,No,Yes,No,"$1,000 to $1,999",Very little,Very well,Very well,45-54,Female,"$150,000 or more",Bachelor's degree or more,0,3,3,3,1,0,0,1,0.04002795827957473
0.8154,Just getting by,No,Yes,No,"$1,000 to $1,999",Somewhat,Somewhat,Completely,65-74,Male,"$100,000 to $149,999",Some college/technical or associates degree,0,2,2,4,2,0,0,1,0.44279753956315254
0.7227,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,75+,Female,"$50,000 to $74,999",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
1.0625,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Very little,Very little,65-74,Female,"$150,000 or more",Some college/technical or associates degree,0,4,1,1,1,0,0,0,-0.8913492596777858
1.5434,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,75+,Female,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.802,Living comfortably,No,Yes,No,$500 to $999,Very little,Not at all,Not at all,65-74,Male,"$75,000 to $99,999",Some college/technical or associates degree,0,3,0,0,0,0,0,2,-1.0151277393600882
0.5601,Just getting by,No,No,No,"$2,000 or more",Somewhat,Completely,Completely,65-74,Male,"$100,000 to $149,999",Bachelor's degree or more,0,2,4,4,2,1,0,0,1.0009469518907645
0.4754,Doing okay,No,Yes,No,"$1,000 to $1,999",Somewhat,Somewhat,Somewhat,75+,Male,"$50,000 to $74,999",Bachelor's degree or more,0,2,2,2,1,0,0,1,-0.10760076291570236
0.8969,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Very little,Somewhat,75+,Female,"$50,000 to $74,999",High school degree or GED,0,3,1,2,0,0,0,0,-0.7986342299734975
1.2884,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,75+,Female,"$100,000 to $149,999",Some college/technical or associates degree,0,4,0,0,0,0,0,0,-1.4423173690457922
1.44,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Not at all,Very well,55-64,Female,"$150,000 or more",Bachelor's degree or more,0,3,0,3,0,0,0,0,-0.7992040368626486
0.7856,Living comfortably,No,Yes,No,"$2,000 or more",Somewhat,Very little,Somewhat,55-64,Male,"$150,000 or more",Bachelor's degree or more,0,2,1,2,0,0,0,0,-0.6296242456839158
0.7275,Doing okay,No,Yes,No,"$1,000 to $1,999",Somewhat,Somewhat,Completely,65-74,Female,"$75,000 to $99,999",Bachelor's degree or more,0,2,2,4,1,0,0,1,0.20846813568000536
0.8414,Doing okay,No,No,No,$100 to $499,Somewhat,Somewhat,Somewhat,75+,Female,"$25,000 to $49,999",Bachelor's degree or more,0,2,2,2,1,1,0,3,0.5206096051320828
0.1788,Doing okay,Yes,Yes,No,"$2,000 or more",Somewhat,Very little,Very well,75+,Male,"$75,000 to $99,999",Some college/technical or associates degree,1,2,1,3,1,0,0,0,-0.23726039250291464
1.1065,Doing okay,No,No,No,$100 to $499,Very well,Very well,Somewhat,25-34,Female,"$50,000 to $74,999",Some college/technical or associates degree,0,1,3,2,1,1,0,3,0.8482238456086696
1.7489,Doing okay,No,Yes,No,$500 to $999,Somewhat,Somewhat,Somewhat,45-54,Female,"$100,000 to $149,999",High school degree or GED,0,2,2,2,1,0,0,2,0.021489059782358724
0.9365,Doing okay,Yes,Yes,No,"$2,000 or more",Very little,Very little,Very little,65-74,Female,"$150,000 or more",Bachelor's degree or more,1,3,1,1,1,0,0,0,-0.722339275388204
1.4989,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Somewhat,Very well,35-44,Female,"$150,000 or more",Bachelor's degree or more,0,2,2,3,1,0,0,0,-0.0786561363159096
0.4976,Living comfortably,No,No,No,"$2,000 or more",Not at all,Very little,Not at all,55-64,Male,"$100,000 to $149,999",Bachelor's degree or more,0,4,1,0,0,1,0,0,-0.9136823902071239
1.1806,Doing okay,No,No,No,"$1,000 to $1,999",Somewhat,Very little,Very well,45-54,Female,"$150,000 or more",Bachelor's degree or more,0,2,1,3,1,1,0,1,0.2618601528468094
0.5082,Just getting by,No,No,No,"$2,000 or more",Not at all,Very well,Very little,75+,Female,"$10,000 to $24,999",Some college/technical or associates degree,0,4,3,1,2,1,0,0,0.030219379231034522
1.1235,Finding it difficult to get by,No,No,No,Under $100,Completely,Completely,Completely,45-54,Male,"$75,000 to $99,999",High school degree or GED,0,0,4,4,3,1,0,4,2.08965561514532
1.271,Doing okay,No,No,No,$500 to $999,Somewhat,Somewhat,Somewhat,65-74,Male,"$75,000 to $99,999",High school degree or GED,0,2,2,2,1,1,0,2,0.3915197824340217
0.4786,Living comfortably,No,No,No,"$2,000 or more",Not at all,Not at all,Not at all,75+,Male,"$75,000 to $99,999",Bachelor's degree or more,0,4,0,0,0,1,0,0,-1.072286646394129
0.3989,Finding it difficult to get by,No,No,No,Under $100,Completely,Very well,Completely,45-54,Female,"$50,000 to $74,999",Some college/technical or associates degree,0,0,3,4,3,1,0,4,1.931051358958315
0.992,Living comfortably,No,No,No,"$2,000 or more",Very little,Not at all,Somewhat,65-74,Male,"$75,000 to $99,999",High school degree or GED,0,3,0,2,0,1,0,0,-0.5872077635088395
0.681,Finding it difficult to get by,No,No,No,"$2,000 or more",Somewhat,Very little,Not at all,45-54,Male,"$100,000 to $149,999",Bachelor's degree or more,0,2,1,0,3,1,0,0,0.12732579002148153
0.8111,Just getting by,No,Yes,No,$500 to $999,Somewhat,Somewhat,Somewhat,45-54,Female,"$75,000 to $99,999",Some college/technical or associates degree,0,2,2,2,2,0,0,2,0.2558184636655061
0.6987,Just getting by,Yes,No,No,"$2,000 or more",Completely,Not at all,Completely,65-74,Female,"$50,000 to $74,999",Some college/technical or associates degree,1,0,0,4,2,1,0,0,0.7045498957219082
0.2653,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Very well,Very little,65-74,Male,"Less than $10,000",Bachelor's degree or more,0,4,3,1,1,0,0,0,-0.5741407473037758
0.6344,Living comfortably,No,No,No,"$2,000 or more",Not at all,Not at all,Not at all,45-54,Male,"$100,000 to $149,999",Bachelor's degree or more,0,4,0,0,0,1,0,0,-1.072286646394129
0.7521,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Somewhat,Very well,65-74,Female,"$75,000 to $99,999",Some college/technical or associates degree,0,2,2,3,1,0,0,0,-0.0786561363159096
0.6349,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Somewhat,55-64,Male,"$75,000 to $99,999",Some college/technical or associates degree,0,4,0,2,0,0,0,0,-1.1262484704500844
0.7197,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Very little,65-74,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,1,0,0,0,0,-1.2842829197479382
0.6105,Doing okay,No,Yes,No,"$2,000 or more",Very little,Somewhat,Very little,75+,Female,"$10,000 to $24,999",High school degree or GED,0,3,2,1,1,0,0,0,-0.5637350192011992
0.8333,Living comfortably,No,No,No,"$2,000 or more",Not at all,Very well,Very little,75+,Female,"$75,000 to $99,999",High school degree or GED,0,4,3,1,0,1,0,0,-0.43843942853526013
0.9473,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,55-64,Male,"$100,000 to $149,999",Some college/technical or associates degree,0,4,0,0,1,0,0,0,-1.2079879651626448
0.9776,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,45-54,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.8491,Living comfortably,No,Yes,No,"$2,000 or more",Very well,Very well,Very little,65-74,Female,"$50,000 to $74,999",High school degree or GED,0,1,3,1,0,0,0,0,-0.3014401983181779
0.7631,Just getting by,No,No,No,Under $100,Completely,Completely,Completely,65-74,Female,"$25,000 to $49,999",High school degree or GED,0,0,4,4,2,1,0,4,1.8553262112621725
0.5846,Just getting by,No,No,No,Under $100,Completely,Completely,Completely,65-74,Female,"$25,000 to $49,999",High school degree or GED,0,0,4,4,2,1,0,4,1.8553262112621725
0.8229,Just getting by,No,No,No,Under $100,Completely,Completely,Completely,55-64,Female,"$25,000 to $49,999",High school degree or GED,0,0,4,4,2,1,0,4,1.8553262112621725
0.6936,Living comfortably,No,No,No,"$2,000 or more",Very little,Not at all,Not at all,65-74,Male,"$150,000 or more",Bachelor's degree or more,0,3,0,0,0,1,0,0,-0.903276662104547
0.62,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,55-64,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.8969,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Somewhat,Very little,65-74,Female,"$50,000 to $74,999",High school degree or GED,0,4,2,1,0,0,0,0,-0.9670744073739281
2.1657,Living comfortably,No,No,No,"$2,000 or more",Very little,Very well,Somewhat,45-54,Female,"$150,000 or more",High school degree or GED,0,3,3,2,0,1,0,0,-0.11139499494782451
1.0342,Finding it difficult to get by,No,No,No,Under $100,Completely,Completely,Completely,55-64,Female,"$50,000 to $74,999",High school degree or GED,0,0,4,4,3,1,0,4,2.08965561514532
0.9247,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Somewhat,Very well,55-64,Female,"$100,000 to $149,999",Some college/technical or associates degree,0,2,2,3,1,0,0,0,-0.0786561363159096
0.6324,Living comfortably,No,Yes,No,"$2,000 or more",Somewhat,Very little,Somewhat,65-74,Male,"$150,000 or more",Bachelor's degree or more,0,2,1,2,0,0,0,0,-0.6296242456839158
0.7651,Living comfortably,No,Yes,No,"$1,000 to $1,999",Somewhat,Very little,Very well,65-74,Male,"$100,000 to $149,999",Bachelor's degree or more,0,2,1,3,0,0,0,1,-0.3424999736880009
0.8491,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Not at all,Completely,65-74,Female,"$50,000 to $74,999",High school degree or GED,0,4,0,4,1,0,0,0,-0.5758501679712293
0.7266,Just getting by,No,Yes,No,"$2,000 or more",Very well,Very well,Completely,75+,Female,"$25,000 to $49,999",High school degree or GED,0,1,3,4,2,0,0,0,0.6413219573416784
0.9568,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Very little,Not at all,25-34,Male,"$150,000 or more",Bachelor's degree or more,0,3,1,0,0,0,0,0,-1.1147031285692053
0.8224,Doing okay,No,No,No,$500 to $999,Somewhat,Somewhat,Very well,25-34,Male,"$100,000 to $149,999",Bachelor's degree or more,0,2,2,3,1,1,0,2,0.5495542317318757
1.1878,Just getting by,No,Yes,No,"$2,000 or more",Somewhat,Somewhat,Very well,55-64,Female,"$100,000 to $149,999",High school degree or GED,0,2,2,3,2,0,0,0,0.1556732675672377
0.5461,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Not at all,Very little,75+,Male,"$100,000 to $149,999",Bachelor's degree or more,0,3,0,1,0,0,0,0,-1.1152729354583564
0.5637,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Completely,Very little,65-74,Male,"$100,000 to $149,999",Bachelor's degree or more,0,3,4,1,0,0,0,0,-0.48085591071033645
0.565,Doing okay,No,Yes,No,$500 to $999,Very little,Somewhat,Completely,75+,Male,"$25,000 to $49,999",Some college/technical or associates degree,0,3,2,4,1,0,0,2,0.16854797408848463
1.3881,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Somewhat,Completely,25-34,Female,"$150,000 or more",Bachelor's degree or more,0,2,2,4,1,0,0,0,0.07937831298194425
0.9937,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Very little,Very little,55-64,Female,"$150,000 or more",Some college/technical or associates degree,0,3,1,1,0,0,0,0,-0.9566686792713515
1.0543,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Very little,55-64,Female,"$150,000 or more",Bachelor's degree or more,0,4,0,1,0,0,0,0,-1.2842829197479382
1.1109,Just getting by,No,Yes,No,"$2,000 or more",Somewhat,Very little,Very well,45-54,Female,"$100,000 to $149,999",High school degree or GED,0,2,1,3,2,0,0,0,-0.002930988619767299
0.5945,Just getting by,No,No,No,$100 to $499,Somewhat,Somewhat,Somewhat,65-74,Female,"$25,000 to $49,999",Some college/technical or associates degree,0,2,2,2,2,1,0,3,0.7549390090152301
0.1788,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,65-74,Male,"$100,000 to $149,999",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
